,item_type,id,url,title,location,price,rooms,m2
4019,listing_no_promo,58628748,https://www.otodom.pl/oferta/nowoczesne-mieszkanie-na-poddaszu-2pietro-ID3Y00Y.html#f4f90ae749,Nowoczesne mieszkanie na poddaszu - 2piętro,"Mieszkanie na sprzedaż: Kraków, Nowa Huta",280 000 zł,2 pokoje,36 m²
4020,listing_no_promo,58158432,https://www.otodom.pl/oferta/dwupoziomowe-mieszkanie-ruczaj-krakow-ID3V1Fe.html#f4f90ae749,"Dwupoziomowe mieszkanie, Ruczaj Kraków","Mieszkanie na sprzedaż: Kraków, małopolskie",365 000 zł,3 pokoje,60 m²
4021,listing_no_promo,58627180,https://www.otodom.pl/oferta/klimatyczny-apartament-z-pieknym-tarasem-ID3XZBG.html#f4f90ae749,Klimatyczny apartament z pięknym tarasem!,"Mieszkanie na sprzedaż: Kraków, Stare Miasto",1 440 000 zł,5 pokoi,138 m²
4022,listing_no_promo,58627176,https://www.otodom.pl/oferta/dwupokojowe-64m-przy-hali-targowej-grzegorzki-ID3XZBC.html#f4f90ae749,"Dwupokojowe, 64m² przy Hali Targowej, Grzegórzki","Mieszkanie na sprzedaż: Kraków, Grzegórzki",490 000 zł,2 pokoje,64 m²
4023,listing_no_promo,58626908,https://www.otodom.pl/oferta/luksusowy-apartament-stare-miasto-2-pok-eng-ID3XZxi.html#f4f90ae749,Luksusowy Apartament | Stare Miasto | 2 pok. | Eng,"Mieszkanie na sprzedaż: Kraków, Śródmieście",825 000 zł,3 pokoje,46 m²
4024,listing_no_promo,58626756,https://www.otodom.pl/oferta/na-blonie-bronowice-twoj-sloneczny-dom-w-krakowie-ID3XZuQ.html#f4f90ae749,NA BŁONIE Bronowice Twój słoneczny dom w Krakowie,"Mieszkanie na sprzedaż: Kraków, Bronowice",860 000 zł,5 pokoi,"108,51 m²"
4025,listing_no_promo,58626708,https://www.otodom.pl/oferta/mieszkanie-36-m2-ii-poziomowe-3-pokoje-ID3XZu4.html#f4f90ae749,"Mieszkanie 36 m2, II poziomowe, 3 pokoje!","Mieszkanie na sprzedaż: Kraków, Prądnik Biały",250 000 zł,3 pokoje,36 m²
4026,listing_no_promo,58626672,https://www.otodom.pl/oferta/3-pok-mieszkanie-m-w-garazu-z-komora-lokatorska-ID3XZtu.html#f4f90ae749,3 pok. mieszkanie m. w garażu z komórą lokatorską,"Mieszkanie na sprzedaż: Kraków, Łobzów",650 000 zł,3 pokoje,"66,70 m²"
4027,listing_no_promo,58626588,https://www.otodom.pl/oferta/mieszkanie-okazja-3-pokoje-pradnik-bialy-ID3XZs8.html#f4f90ae749,"Mieszkanie Okazja 3 pokoje, Pradnik Biały","Mieszkanie na sprzedaż: Kraków, Prądnik Czerwony",250 000 zł,3 pokoje,36 m²
4028,listing_no_promo,58616528,https://www.otodom.pl/oferta/gotowe-2-pokojowe-38-5m2-ul-wroclawska-ID3XVPS.html#f4f90ae749,"Gotowe 2 pokojowe 38,5m2 ul. Wrocławska","Mieszkanie na sprzedaż: Kraków, Łobzów",340 000 zł,2 pokoje,"38,50 m²"
